204000046 55 42
-1, -1, -1, 6:15, -1, 7:0, 7:20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 
-1, 5:27, -1, -1, -1, 7:1, 7:21, 7:41, -1, 8:25, -1, 9:16, -1, 10:6, -1, 10:57, 11:22, -1, -1, 12:35, 13:1, 13:31, 14:1, 14:32, 15:0, 15:31, 16:1, 16:31, 17:1, 17:31, 18:0, 18:25, 18:51, 19:16, 19:41, -1, 20:41, -1, -1, 22:11, 22:41, 23:12, 
5:1, -1, 5:52, 6:16, 6:41, 7:2, 7:22, 7:42, 8:2, 8:26, -1, 9:17, 9:42, -1, 10:41, -1, 11:24, -1, -1, 12:36, -1, 13:32, 14:2, -1, 15:1, 15:32, 16:2, 16:32, 17:2, 17:32, 18:1, 18:26, -1, 19:17, 19:42, 20:12, -1, 21:11, 21:41, 22:12, 22:42, 23:14, 
5:3, -1, 5:53, 6:17, 6:42, -1, -1, 7:43, 8:3, 8:28, -1, 9:18, 9:43, 10:8, 10:42, -1, 11:25, -1, 12:13, 12:37, 13:2, -1, 14:3, 14:33, 15:2, 15:33, -1, 16:33, 17:3, 17:33, 18:2, 18:27, 18:52, 19:18, 19:43, 20:13, 20:42, 21:12, 21:42, 22:13, 22:43, -1, 
-1, 5:29, 5:54, 6:18, 6:43, 7:4, 7:23, 7:44, 8:5, -1, -1, -1, 9:44, -1, 10:43, 10:59, 11:26, -1, 12:14, 12:38, 13:3, 13:33, 14:4, 14:34, 15:3, 15:34, 16:4, 16:34, 17:4, 17:34, 18:3, 18:28, 18:53, 19:19, 19:44, 20:13, 20:43, 21:13, 21:43, 22:14, 22:44, 23:15, 
5:6, -1, -1, 6:19, 6:44, -1, 7:24, 7:45, -1, 8:29, -1, 9:20, 9:47, 10:10, 10:46, 11:1, 11:27, 11:51, -1, 12:40, 13:6, 13:36, 14:6, 14:36, 15:4, 15:36, -1, 16:36, 17:6, 17:35, 18:4, 18:29, 18:54, 19:21, 19:46, 20:15, 20:46, 21:16, 21:44, 22:16, 22:46, 23:16, 
5:7, 5:32, 5:58, 6:21, 6:47, 7:6, 7:27, 7:47, 8:7, 8:31, -1, 9:21, -1, 10:11, 10:47, -1, 11:29, 11:52, 12:17, 12:41, 13:7, 13:37, 14:7, 14:37, 15:6, 15:39, 16:6, 16:39, 17:9, 17:37, 18:6, 18:31, 18:56, 19:22, 19:47, 20:16, -1, -1, -1, 22:17, 22:47, 23:19, 
-1, -1, -1, 6:22, -1, 7:7, -1, -1, 8:9, 8:32, 8:57, 9:22, 9:48, 10:12, -1, 11:3, 11:32, -1, -1, 12:42, 13:9, 13:39, 14:10, 14:40, 15:9, 15:40, 16:7, 16:40, 17:10, 17:38, 18:9, 18:32, 18:57, -1, 19:48, 20:17, 20:49, 21:17, 21:45, 22:18, -1, -1, 
5:8, -1, -1, 6:23, -1, 7:8, 7:28, 7:48, -1, -1, 8:58, 9:23, 9:49, -1, 10:48, -1, 11:33, 11:53, 12:18, 12:43, 13:10, 13:40, 14:11, -1, 15:10, -1, 16:8, 16:41, 17:11, -1, 18:10, -1, 18:58, 19:23, -1, -1, 20:50, -1, -1, -1, 22:48, 23:20, 
5:10, 5:34, -1, 6:25, 6:48, 7:10, -1, 7:50, 8:10, 8:34, -1, -1, 9:51, 10:13, 10:50, -1, 11:35, 11:55, -1, 12:44, 13:12, 13:42, 14:12, 14:41, 15:12, 15:42, 16:10, 16:42, 17:12, 17:39, 18:12, 18:33, 19:0, 19:25, 19:50, 20:19, -1, 21:18, 21:47, 22:20, 22:50, -1, 
5:12, 5:36, 6:3, 6:30, 6:51, 7:13, 7:34, 7:54, 8:15, 8:39, 9:3, 9:27, 9:56, 10:18, 10:54, 11:7, 11:39, 11:58, 12:22, 12:48, 13:15, 13:45, 14:15, 14:46, 15:15, 15:45, 16:12, 16:45, 17:16, 17:42, 18:15, 18:36, 19:3, 19:28, 19:55, 20:24, 20:54, 21:21, 21:51, 22:24, 22:54, 23:24, 
5:14, 5:39, 6:5, 6:32, 6:54, 7:15, 7:36, 7:57, 8:18, 8:41, 9:6, 9:30, 9:57, 10:20, 10:57, 11:9, 11:42, 12:0, 12:24, 12:50, 13:17, 13:48, 14:18, 14:48, 15:17, 15:48, 16:14, 16:48, 17:18, 17:44, 18:17, 18:38, 19:6, 19:30, 19:57, 20:26, 20:56, 21:23, 21:53, 22:27, 22:56, 23:26, 
5:16, 5:40, 6:7, 6:35, 6:55, 7:17, 7:38, 7:59, 8:20, 8:43, 9:8, 9:31, 9:59, 10:22, 10:58, 11:11, 11:44, 12:2, 12:25, 12:52, 13:19, 13:50, 14:20, 14:49, 15:19, 15:49, 16:16, 16:49, 17:19, 17:46, 18:19, 18:40, 19:8, 19:32, 19:59, 20:28, 20:58, 21:25, 21:55, 22:29, 22:58, 23:28, 
5:17, 5:42, 6:9, 6:36, 6:56, 7:18, 7:39, 8:1, 8:22, 8:45, 9:9, 9:33, 10:0, 10:23, 10:59, 11:13, 11:45, 12:4, 12:27, 12:53, 13:21, 13:51, 14:21, 14:50, 15:20, 15:51, 16:18, 16:51, 17:21, 17:47, 18:20, 18:42, 19:9, 19:33, 20:0, 20:29, 20:59, 21:26, 21:57, 22:30, 22:59, 23:29, 
5:19, 5:43, 6:11, 6:37, 6:58, 7:20, 7:41, -1, 8:23, 8:47, 9:10, 9:34, 10:3, 10:25, 11:1, 11:14, 11:47, 12:5, 12:28, 12:55, 13:22, 13:52, 14:23, 14:51, 15:22, 15:52, 16:19, 16:52, 17:22, 17:49, 18:21, 18:43, 19:10, 19:35, 20:2, 20:31, 21:0, 21:28, 21:58, 22:31, 23:1, 23:31, 
5:20, 5:45, 6:13, 6:40, 7:0, 7:22, 7:43, 8:3, 8:26, 8:49, 9:12, 9:36, 10:4, 10:27, 11:2, 11:16, 11:49, 12:7, 12:30, 12:57, 13:24, 13:54, 14:25, 14:53, 15:24, 15:54, 16:21, 16:54, 17:24, 17:51, 18:23, 18:45, 19:12, 19:36, 20:3, 20:33, 21:2, 21:30, 22:0, 22:33, 23:3, 23:33, 
5:22, 5:47, 6:14, 6:41, 7:2, 7:23, 7:45, 8:5, 8:28, 8:50, 9:14, 9:38, 10:5, 10:29, 11:4, 11:18, 11:50, 12:9, 12:32, 12:59, 13:26, 13:56, 14:27, 14:55, 15:26, 15:56, 16:23, 16:56, 17:26, 17:53, 18:25, 18:46, 19:14, 19:38, 20:5, 20:34, 21:4, 21:31, 22:1, 22:35, 23:5, 23:34, 
5:24, 5:49, 6:16, 6:43, 7:3, 7:25, 7:47, 8:7, 8:29, 8:52, 9:16, 9:41, 10:7, 10:30, 11:5, 11:20, 11:52, 12:11, 12:34, 13:1, 13:28, 13:58, 14:29, 14:57, 15:27, 15:58, 16:24, 16:58, 17:28, 17:55, 18:27, 18:48, 19:16, 19:40, 20:7, 20:37, 21:6, 21:33, 22:3, 22:37, 23:7, 23:36, 
5:27, 5:52, 6:20, 6:45, 7:7, 7:28, 7:49, 8:9, 8:31, 8:56, 9:20, 9:42, 10:9, 10:34, 11:9, 11:23, 11:55, 12:12, 12:36, 13:4, 13:32, 14:0, 14:32, 14:59, 15:31, 15:59, 16:27, 16:59, 17:31, 17:58, 18:30, 18:50, 19:19, 19:43, 20:11, 20:39, 21:10, 21:35, 22:6, 22:39, 23:8, 23:39, 
-1, 5:53, 6:21, 6:46, 7:8, 7:29, 7:50, 8:10, 8:32, 8:57, 9:21, 9:44, 10:10, -1, 11:10, 11:24, 11:56, 12:13, 12:37, 13:5, 13:33, 14:2, 14:34, 15:0, 15:32, 16:1, 16:28, 17:1, 17:32, 17:59, 18:31, 18:51, 19:20, 19:44, 20:12, 20:40, 21:12, 21:36, 22:7, 22:41, 23:9, 23:41, 
5:29, 5:56, 6:24, 6:48, 7:10, 7:31, 7:52, 8:13, 8:34, 8:59, 9:23, 9:45, 10:11, 10:36, 11:11, 11:25, 11:58, 12:15, 12:38, 13:7, 13:35, 14:4, 14:36, 15:2, 15:34, 16:3, 16:30, 17:3, 17:33, 18:1, 18:33, 18:53, 19:23, 19:46, 20:13, 20:42, 21:14, 21:38, 22:9, 22:43, 23:11, 23:42, 
5:31, 5:58, 6:26, 6:51, 7:11, 7:34, 7:54, 8:14, 8:37, 9:0, 9:24, 9:49, 10:15, 10:38, 11:13, 11:27, 12:0, 12:18, 12:41, 13:9, 13:37, 14:5, 14:38, 15:4, 15:36, 16:6, 16:32, 17:5, 17:36, 18:3, 18:35, 18:56, 19:26, 19:47, 20:16, 20:44, 21:16, 21:41, 22:11, 22:45, 23:13, 23:44, 
5:32, -1, 6:28, -1, 7:14, 7:35, 7:56, 8:15, 8:38, 9:3, 9:27, 9:51, -1, 10:41, 11:14, 11:29, 12:2, -1, 12:44, 13:10, 13:38, 14:8, 14:40, 15:6, 15:38, 16:8, 16:34, 17:6, 17:37, 18:5, 18:37, -1, 19:28, 19:49, -1, 20:46, 21:18, 21:42, 22:12, 22:47, 23:14, 23:46, 
5:36, 6:0, 6:31, 6:56, 7:16, 7:39, 7:59, 8:17, 8:41, 9:5, 9:29, 9:53, 10:17, 10:43, 11:16, 11:32, 12:4, 12:23, 12:46, 13:12, 13:41, 14:10, 14:42, 15:8, 15:40, 16:10, 16:37, 17:9, 17:40, 18:7, 18:39, 18:58, 19:30, 19:52, 20:21, 20:49, 21:21, 21:46, 22:16, 22:49, 23:18, 23:48, 
5:39, 6:2, 6:35, 7:0, 7:19, 7:42, 8:3, 8:21, 8:43, 9:6, 9:32, 9:59, 10:19, 10:47, 11:19, 11:34, 12:7, 12:24, 12:49, 13:14, 13:45, 14:14, 14:47, 15:12, 15:44, 16:15, 16:41, 17:13, 17:44, 18:11, 18:44, 19:0, 19:34, 19:55, 20:24, 20:51, 21:25, 21:49, 22:19, 22:52, 23:20, 23:50, 
5:42, 6:5, 6:40, 7:5, 7:22, 7:45, 8:7, 8:25, 8:47, 9:10, 9:35, 10:2, 10:23, 10:52, 11:22, 11:39, 12:13, 12:28, 12:53, 13:18, 13:48, 14:18, 14:51, 15:16, 15:48, 16:19, 16:45, 17:21, 17:48, 18:17, 18:49, 19:5, 19:40, 19:59, 20:27, 20:55, 21:29, 21:55, 22:22, 22:56, 23:25, 23:59, 
5:44, 6:9, 6:43, 7:9, 7:26, 7:48, 8:9, 8:27, 8:51, 9:12, 9:39, 10:6, 10:27, 10:54, 11:24, 11:42, 12:18, 12:30, 12:57, 13:21, 13:51, 14:21, 14:53, 15:18, 15:51, 16:21, 16:48, 17:23, 17:51, 18:19, 18:51, 19:7, 19:42, 20:4, 20:29, 20:58, 21:33, 21:57, 22:24, 22:58, 23:29, 0:1, 
5:45, -1, 6:44, -1, -1, 7:49, -1, 8:28, -1, 9:13, -1, -1, 10:28, 10:55, -1, 11:43, 12:19, -1, -1, -1, -1, -1, 14:54, -1, -1, 16:22, -1, -1, -1, -1, -1, -1, 19:43, -1, -1, -1, -1, 21:58, 22:25, -1, -1, -1, 
5:47, 6:11, 6:45, 7:10, 7:27, 7:50, -1, -1, 8:52, -1, 9:41, 10:7, -1, -1, 11:26, 11:44, 12:20, 12:31, 12:58, 13:22, 13:52, 14:22, 14:55, 15:19, 15:52, 16:23, 16:49, 17:25, 17:52, 18:21, 18:53, 19:8, 19:44, 20:6, 20:31, 21:0, 21:35, 21:59, 22:26, 22:59, 23:30, 0:2, 
5:49, -1, 6:46, 7:12, 7:28, 7:53, 8:10, 8:29, 8:53, 9:16, 9:42, 10:10, 10:30, 10:57, 11:27, 11:45, 12:22, 12:34, 12:59, 13:24, 13:54, 14:23, 14:57, 15:22, 15:54, 16:26, 16:52, 17:27, 17:54, 18:24, 18:55, 19:10, 19:47, 20:7, 20:34, 21:2, 21:36, 22:2, 22:27, 23:2, 23:32, 0:5, 
5:50, 6:14, 6:48, 7:13, 7:30, 7:55, 8:13, 8:31, 8:54, 9:18, 9:44, -1, 10:31, 10:59, 11:29, 11:47, 12:24, 12:36, 13:2, 13:26, 13:56, 14:26, 14:59, 15:23, 15:55, 16:27, 16:54, 17:29, 17:56, 18:26, 18:57, 19:13, 19:50, 20:10, 20:36, 21:4, 21:38, 22:3, 22:28, 23:4, 23:33, 0:7, 
5:52, 6:17, 6:50, 7:15, 7:32, 7:57, 8:15, 8:33, 8:56, 9:20, 9:47, 10:13, 10:34, 11:1, 11:30, 11:50, 12:26, 12:39, 13:4, 13:28, 13:58, 14:28, 15:2, 15:26, 15:58, 16:30, 16:57, 17:32, 17:58, 18:28, 19:0, 19:16, 19:53, 20:12, 20:39, 21:7, 21:40, 22:5, 22:31, 23:6, 23:34, 0:9, 
5:53, 6:18, 6:52, 7:17, 7:34, 7:59, 8:17, 8:35, 8:58, 9:22, -1, 10:15, 10:36, 11:3, 11:31, 11:52, 12:28, 12:40, 13:6, 13:29, 14:0, 14:29, 15:4, 15:27, 15:59, 16:32, 16:58, 17:33, 18:0, 18:30, 19:1, 19:18, 19:55, 20:13, 20:41, 21:9, 21:42, 22:7, 22:32, 23:8, 23:36, 0:11, 
5:54, 6:19, -1, 7:18, 7:35, 8:1, 8:18, 8:36, 8:59, 9:23, 9:49, -1, 10:37, 11:4, 11:32, 11:53, 12:29, 12:41, -1, 13:30, 14:1, 14:30, 15:5, 15:28, 16:0, 16:33, 16:59, 17:34, 18:1, 18:31, 19:2, 19:19, 19:56, 20:13, 20:42, -1, 21:43, 22:8, 22:33, 23:9, -1, 0:12, 
5:57, 6:24, 6:56, 7:22, 7:40, 8:5, 8:21, 8:39, 9:4, 9:29, 9:53, 10:20, 10:41, 11:10, 11:34, 11:56, 12:33, 12:44, 13:9, 13:33, 14:5, 14:33, 15:9, 15:32, 16:4, 16:36, 17:4, 17:38, 18:6, 18:35, 19:6, 19:23, 19:59, 20:16, 20:47, 21:12, 21:47, 22:10, 22:37, 23:12, 23:41, 0:16, 
5:58, 6:26, 6:58, 7:24, 7:42, 8:7, 8:23, 8:41, 9:5, 9:31, 9:56, 10:22, 10:43, 11:12, 11:36, 11:58, 12:35, 12:46, 13:11, 13:35, 14:7, 14:35, 15:10, 15:34, 16:5, 16:37, 17:6, 17:40, 18:7, 18:36, 19:7, 19:25, 20:1, 20:17, 20:48, 21:13, 21:49, 22:12, 22:39, 23:14, 23:42, 0:18, 
6:0, 6:28, 7:0, 7:27, 7:44, 8:9, 8:25, 8:43, 9:7, 9:32, 9:57, 10:23, 10:45, 11:13, 11:38, 12:0, 12:37, 12:48, 13:13, 13:37, 14:9, 14:37, 15:12, 15:36, 16:7, 16:39, 17:7, 17:41, 18:9, 18:38, 19:9, 19:27, 20:2, 20:19, 20:50, 21:15, 21:51, 22:14, 22:41, 23:15, 23:44, 0:20, 
6:2, 6:30, 7:2, 7:28, 7:47, 8:10, 8:26, 8:45, 9:9, 9:34, 9:59, 10:26, 10:47, 11:15, 11:39, 12:2, 12:39, 12:50, 13:15, 13:38, 14:11, 14:38, 15:14, 15:37, 16:9, 16:41, 17:9, 17:43, 18:11, 18:40, 19:11, 19:29, 20:4, 20:21, 20:52, 21:17, 21:53, 22:15, 22:42, 23:17, 23:46, 0:21, 
